DATE,TIME,CO2dry_ppm,CH4dry_ppb,H2O_ppm,POSIX.time,CO2_prec,CH4_prec,H2O_prec,DATE_TIME,analyzer_id,UniqueID,start.time,obs.length,Area,offset,Vcham,Vtube,Vinst,Vtot,Tcham,Pcham
2023-03-18,NA,432.918,2992.66,-490.592,2023-03-18T10:58:00.000000Z,0.35,0.9,200,03-18-2023 10:57:59.578,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,434.714,2996.98,-315.112,2023-03-18T10:58:01.000000Z,0.35,0.9,200,03-18-2023 10:58:00.574,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,433.625,2993.04,-500.773,2023-03-18T10:58:02.000000Z,0.35,0.9,200,03-18-2023 10:58:01.568,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,434.204,2989.42,-755.523,2023-03-18T10:58:03.000000Z,0.35,0.9,200,03-18-2023 10:58:02.562,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,434.169,2992.18,-727.634,2023-03-18T10:58:04.000000Z,0.35,0.9,200,03-18-2023 10:58:03.556,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,434.297,2995.8,-463.954,2023-03-18T10:58:05.000000Z,0.35,0.9,200,03-18-2023 10:58:04.551,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,434.544,3001.81,-236.828,2023-03-18T10:58:06.000000Z,0.35,0.9,200,03-18-2023 10:58:05.547,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,436.261,2991.97,-529.046,2023-03-18T10:58:07.000000Z,0.35,0.9,200,03-18-2023 10:58:06.541,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,436.568,2995.6800000000003,-386.64,2023-03-18T10:58:08.000000Z,0.35,0.9,200,03-18-2023 10:58:07.535,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,436.754,2996.3199999999997,-181.694,2023-03-18T10:58:09.000000Z,0.35,0.9,200,03-18-2023 10:58:08.530,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,434.65,2998.26,-520.959,2023-03-18T10:58:10.000000Z,0.35,0.9,200,03-18-2023 10:58:09.530,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.323,2994.92,-519.298,2023-03-18T10:58:11.000000Z,0.35,0.9,200,03-18-2023 10:58:10.525,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.495,2996.87,-524.595,2023-03-18T10:58:12.000000Z,0.35,0.9,200,03-18-2023 10:58:11.519,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.078,2995.99,-339.293,2023-03-18T10:58:13.000000Z,0.35,0.9,200,03-18-2023 10:58:12.514,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,436.852,2998.0699999999997,-455.775,2023-03-18T10:58:14.000000Z,0.35,0.9,200,03-18-2023 10:58:13.509,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.156,2996.45,-611.481,2023-03-18T10:58:15.000000Z,0.35,0.9,200,03-18-2023 10:58:14.510,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.714,3000.02,-600.191,2023-03-18T10:58:16.000000Z,0.35,0.9,200,03-18-2023 10:58:15.504,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,436.908,2994.08,-802.697,2023-03-18T10:58:16.000000Z,0.35,0.9,200,03-18-2023 10:58:16.499,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.988,2994.0699999999997,-683.277,2023-03-18T10:58:17.000000Z,0.35,0.9,200,03-18-2023 10:58:17.494,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.116,2993.9900000000002,-574.683,2023-03-18T10:58:18.000000Z,0.35,0.9,200,03-18-2023 10:58:18.489,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.812,3002.6099999999997,-405.243,2023-03-18T10:58:19.000000Z,0.35,0.9,200,03-18-2023 10:58:19.482,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.394,3002.73,-52.3819,2023-03-18T10:58:20.000000Z,0.35,0.9,200,03-18-2023 10:58:20.478,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.244,3003.21,-295.334,2023-03-18T10:58:21.000000Z,0.35,0.9,200,03-18-2023 10:58:21.471,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,437.626,3003.22,-385.139,2023-03-18T10:58:22.000000Z,0.35,0.9,200,03-18-2023 10:58:22.466,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.308,2998.6600000000003,-502.073,2023-03-18T10:58:23.000000Z,0.35,0.9,200,03-18-2023 10:58:23.460,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.679,2999.81,-486.336,2023-03-18T10:58:24.000000Z,0.35,0.9,200,03-18-2023 10:58:24.456,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.478,3003.85,-281.242,2023-03-18T10:58:25.000000Z,0.35,0.9,200,03-18-2023 10:58:25.450,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.254,3001.62,-491.264,2023-03-18T10:58:26.000000Z,0.35,0.9,200,03-18-2023 10:58:26.445,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,440.182,3002.1,-464.259,2023-03-18T10:58:27.000000Z,0.35,0.9,200,03-18-2023 10:58:27.440,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.766,2999.32,-1687.31,2023-03-18T10:58:28.000000Z,0.35,0.9,200,03-18-2023 10:58:28.434,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.903,3004.77,-512.462,2023-03-18T10:58:29.000000Z,0.35,0.9,200,03-18-2023 10:58:29.428,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,441.055,3002.26,-669.389,2023-03-18T10:58:30.000000Z,0.35,0.9,200,03-18-2023 10:58:30.424,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.804,2997.1,-1205.47,2023-03-18T10:58:31.000000Z,0.35,0.9,200,03-18-2023 10:58:31.418,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.77,2998.05,-1233.68,2023-03-18T10:58:32.000000Z,0.35,0.9,200,03-18-2023 10:58:32.411,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.133,3006.49,-1416.34,2023-03-18T10:58:33.000000Z,0.35,0.9,200,03-18-2023 10:58:33.407,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.69,3011.34,-621.002,2023-03-18T10:58:34.000000Z,0.35,0.9,200,03-18-2023 10:58:34.402,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,438.462,3001.2,-568.125,2023-03-18T10:58:35.000000Z,0.35,0.9,200,03-18-2023 10:58:35.395,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.971,3005.4500000000003,-426.133,2023-03-18T10:58:36.000000Z,0.35,0.9,200,03-18-2023 10:58:36.390,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
2023-03-18,NA,439.927,3004.44,-445.055,2023-03-18T10:58:37.000000Z,0.35,0.9,200,03-18-2023 10:58:37.385,LGR1,45003_FLM30_Water_145,2023-03-18T11:03:00.000000Z,300,324.3,0,3370,29,919,4.318,27.025,101.325
