UniqueID,DATE,TIME,start.time,Area,offset,Vcham,Vtube,Vinst,Vtot,Tcham,Pcham
Mar_23_286_SRS6_stem,2023-03-10,16:19:00,2023-03-10T21:19:00.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,28.3,101.325
Mar_23_294_SRS6_root,2023-03-10,14:57:59,2023-03-10T19:57:59.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,30.2,101.325
Mar_23_276_SRS6_stem,2023-03-10,14:20:00,2023-03-10T19:20:00.000000Z,213.35,0,1064.6016666666667,29,919,2.012601666666667,30.2,101.325
Mar_23_277_SRS6_stem,2023-03-10,14:39:30,2023-03-10T19:39:30.000000Z,213.35,0,1064.6016666666667,29,919,2.012601666666667,30.2,101.325
Mar_23_278_SRS6_stem,2023-03-10,14:46:00,2023-03-10T19:46:00.000000Z,213.35,0,1064.6016666666667,29,919,2.012601666666667,30.2,101.325
Mar_23_279_SRS6_root,2023-03-10,15:00:00,2023-03-10T20:00:00.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,30.2,101.325
Mar_23_280_SRS6_stem,2023-03-10,15:16:15,2023-03-10T20:16:15.000000Z,213.35,0,1064.6016666666667,29,919,2.012601666666667,28.3,101.325
Mar_23_281_SRS6_stem,2023-03-10,15:25:00,2023-03-10T20:25:00.000000Z,213.35,0,1064.6016666666667,29,919,2.012601666666667,28.3,101.325
Mar_23_282_SRS6_stem,2023-03-10,15:32:00,2023-03-10T20:32:00.000000Z,213.35,0,1064.6016666666667,29,919,2.012601666666667,28.3,101.325
Mar_23_283_SRS6_root,2023-03-10,15:44:00,2023-03-10T20:44:00.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,28.3,101.325
Mar_23_284_SRS6_stem,2023-03-10,16:02:00,2023-03-10T21:02:00.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,28.3,101.325
Mar_23_285_SRS6_stem,2023-03-10,16:09:30,2023-03-10T21:09:30.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,28.3,101.325
Mar_23_287_SRS6_root,2023-03-10,16:27:00,2023-03-10T21:27:00.000000Z,107.68,0,418.99555555555554,29,919,1.3669955555555555,28.3,101.325
Mar_23_288_SRS6_root,2023-03-10,16:33:30,2023-03-10T21:33:30.000000Z,40.45,0,212.53666666666663,29,919,1.1605366666666663,28.3,101.325
Mar_23_289_SRS6_stem,2023-03-10,16:08:28,2023-03-10T21:08:28.000000Z,462.19,0,2190.644,29,919,3.138644,28.3,101.325
