"site","campaign","tide_state","component","flux_rate","flux_ci_lo","flux_ci_hi","surface_area_m2","total_nmol_s","disturbance_level","area_m2","conv","total_mg_m2_d","sa_per_m2"
"CP40","Oct 2022","fixed","stem_measured",NA,NA,NA,NA,357.129695932568,"ghost",1901.82374,0.000728698443947282,0.260239853713428,NA
"CP40","Oct 2022","fixed","stem_extrapolated",NA,NA,NA,NA,0.33823143549699,"ghost",1901.82374,0.000728698443947282,0.000246468720740712,NA
"CP40","Oct 2022","fixed","root",0.255268350964717,0.1740216566559,0.340733708101337,57.937108398,14.7895101204215,"ghost",1901.82374,0.000728698443947282,0.0107770930114938,0.0304639737003178
"CP40","Oct 2022","fixed","soil",NA,NA,NA,0,0,"ghost",1901.82374,0.000728698443947282,0,0
"CP40","Oct 2022","fixed","water",53.8023437936998,33.4143667329028,76.4169332671095,1898.020038432,102117.92663505,"ghost",1901.82374,0.000728698443947282,74.4131742380835,0.99799997155993
"CP40","Oct 2022","fixed","cwd",5.00413340670476,0.478288914504081,12.4965163536855,10,50.0413340670476,"ghost",1901.82374,0.000728698443947282,0.0364650422677037,0.00525811082787304
"FLM30","Oct 2022","fixed","stem_measured",NA,NA,NA,NA,160.356434681015,"ghost",2101.73357,0.000659387098241953,0.10573696414874,NA
"FLM30","Oct 2022","fixed","stem_extrapolated",NA,NA,NA,NA,0.266602842136415,"ghost",2101.73357,0.000659387098241953,0.000175794474459388,NA
"FLM30","Oct 2022","fixed","root",0.255268350964717,0.1740216566559,0.340733708101337,48.621929165,12.4116396786728,"ghost",2101.73357,0.000659387098241953,0.00818407507214477,0.0231342020982231
"FLM30","Oct 2022","fixed","soil",NA,NA,NA,0,0,"ghost",2101.73357,0.000659387098241953,0,0
"FLM30","Oct 2022","fixed","water",19.1534311341878,12.2762210281157,27.0616073496047,2098.169910286,40187.152884488,"ghost",2101.73357,0.000659387098241953,26.4988901271083,0.998304418902154
"FLM30","Oct 2022","fixed","cwd",NA,NA,NA,10,0,"ghost",2101.73357,0.000659387098241953,0,0.00475797700657177
"SRS5","Oct 2022","high_tide","stem_measured",NA,NA,NA,NA,16.5814128013405,"healthy",1767.30492,0.000784163493416858,0.0130025385880862,NA
"SRS5","Oct 2022","high_tide","stem_extrapolated",NA,NA,NA,NA,22.9339212687167,"healthy",1767.30492,0.000784163493416858,0.017983943819824,NA
"SRS5","Oct 2022","high_tide","root",0.802312400115108,0.368261872370231,1.32067473067198,418.979726275,336.152629787266,"healthy",1767.30492,0.000784163493416858,0.263598620495246,0.237072687080507
"SRS5","Oct 2022","high_tide","soil",1.24778756535746,0.883637280655833,1.55077562696811,0,0,"healthy",1767.30492,0.000784163493416858,0,0
"SRS5","Oct 2022","high_tide","water",0.441047701489055,0.108545835061707,1.08388264901789,1760.956069742,776.66562698291,"healthy",1767.30492,0.000784163493416858,0.609032831271713,0.996407609017464
