placement_id,site,date,season,analyzer,trace_type,matched_flux_id,diffusive_rate_clean_ppm_s,diffusive_flux_umol,diffusive_model,diffusive_quality,LM_flux,HM_flux,LM_r2,HM_r2,LM_p_val,diffusive_flux_nmol,LM_flux_nmol,HM_flux_nmol,n_jumps,total_ebullitive_ppm,duration_sec,n_points_clean,ebull_flux_nmol,conv,simple_LM_flux_nmol,total_flux_nmol,ebullitive_fraction
LGR1_2023-03-18_FLM30_P01,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,5.902972099443972e-4,4.140486963999355,HM,,3.1783350279146703,4.140486963999355,0.9933822449689285,0.9981774607022089,0,4.140486963999355,3.1783350279146703,4.140486963999355,0,0,557.9939999580383,562,0,5378.725534939747,3.1750466763316183,4.140486963999355,0
LGR1_2023-03-18_FLM30_P02,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,3.862909924036914e-4,2.3138114929800384,HM,,2.0800679411097653,2.3138114929800384,0.996259948588643,0.9970180402678155,0,2.3138114929800384,2.0800679411097653,2.3138114929800384,0,0,556.9669997692108,561,0,5378.725534939747,2.077753224758951,2.3138114929800384,0
LGR1_2023-03-18_FLM30_P03,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,3.842642311096451e-4,2.4622854040866065,HM,,2.06763062475289,2.4622854040866065,0.9890743145194064,0.9910748389273012,0,2.4622854040866065,2.06763062475289,2.4622854040866065,0,0,556.9850001335144,561,0,5378.725534939747,2.0668518320334366,2.4622854040866065,0
LGR1_2023-03-18_FLM30_P04,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,4.168247969171369e-4,2.384109219114975,HM,,2.2436925527931058,2.384109219114975,0.9961085594204809,0.9963652988231514,0,2.384109219114975,2.2436925527931058,2.384109219114975,0,0,557.9640002250671,562,0,5378.725534939747,2.2419861787742787,2.384109219114975,0
LGR1_2023-03-18_FLM30_P05,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,4.238422809792618e-4,3.0681064796852016,HM,,2.281918418188616,3.0681064796852016,0.9880424386216027,0.9943917582690641,0,3.0681064796852016,2.281918418188616,3.0681064796852016,0,0,556.9680001735687,561,0,5378.725534939747,2.2797312994902628,3.0681064796852016,0
LGR1_2023-03-18_FLM30_P06,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,2.991604582710784e-4,1.6328600617614226,HM,AICc,1.609475992638688,1.6328600617614226,0.9931156072262024,0.9930706641670218,0,1.6328600617614226,1.609475992638688,1.6328600617614226,0,0,556.9839999675751,561,0,5378.725534939747,1.6091019959469262,1.6328600617614226,0
LGR1_2023-03-18_FLM30_P07,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,3.357754704150058e-4,2.47385206185615,HM,,1.8079300366673168,2.47385206185615,0.9878147502485114,0.9949662172413593,0,2.47385206185615,1.8079300366673168,2.47385206185615,0,0,556.9719998836517,561,0,5378.725534939747,1.8060440967275972,2.47385206185615,0
LGR1_2023-03-18_FLM30_P08,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,2.7842044809874597e-4,1.5120938395079444,HM,AICc,1.4935959891299961,1.5120938395079444,0.9870492124376983,0.9869642423816258,0,1.5120938395079444,1.4935959891299961,1.5120938395079444,0,0,557.9789998531342,562,0,5378.725534939747,1.4975471736380916,1.5120938395079444,0
LGR1_2023-03-18_FLM30_P09,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,0.00199196060269314,11.276260409738581,HM,SE | AICc | Intercept,10.726876024987407,11.276260409738581,0.9820278409317044,0.9822147317715446,5.231285312106817e-154,11.276260409738581,10.726876024987407,11.276260409738581,0,0,175.0479998588562,177,0,5378.725534939747,10.714209358299561,11.276260409738581,0
LGR1_2023-03-18_FLM30_P10,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,0.00210479467696649,16.08186025173495,HM,SE,11.340374910276912,16.08186025173495,0.9868353130827245,0.9961432828931212,3.939259203871423e-192,16.08186025173495,11.340374910276912,16.08186025173495,0,0,202.93099999427795,205,0,5378.725534939747,11.321112874804916,16.08186025173495,0
LGR1_2023-03-18_FLM30_P11,FLM30,2023-03-18,dry (Mar 2023),LGR1,additional,NA,0.00125951929457663,8.4513423084923,HM,SE,6.778887814935028,8.4513423084923,0.99140958850324,0.9947107112486757,0,8.4513423084923,6.778887814935028,8.4513423084923,0,0,557.9739999771118,562,0,5378.725534939747,6.774608591488617,8.4513423084923,0
LGR1_2023-03-18_FLM30_P12,FLM30,2023-03-18,dry (Mar 2023),LGR1,processed,45003_FLM30_Water_147,0.00135921906491742,7.307704734132427,LM,RMSE | MAE | SE | AICc,7.307704734132427,7.348724849675242,0.9960506948909503,0.99585820449802,0,7.307704734132427,7.307704734132427,7.348724849675242,0,0,353.106999874115,356,0,5378.725534939747,7.310866292048253,7.307704734132427,0
LGR1_2023-03-18_FLM30_P13,FLM30,2023-03-18,dry (Mar 2023),LGR1,processed,45003_FLM30_Water_148,9.434934897454268e-4,5.339644858816975,HM,,5.0793629945897045,5.339644858816975,0.9972604803424552,0.9974279874199977,1.5772070373435807e-272,5.339644858816975,5.0793629945897045,5.339644858816975,0,0,211.8450002670288,214,0,5378.725534939747,5.07479252534314,5.339644858816975,0
LGR1_2023-03-18_FLM30_P14,FLM30,2023-03-18,dry (Mar 2023),LGR1,processed,45003_FLM30_Water_149,0.0012617879331453,8.944006287820487,HM,SE,6.7891475514276625,8.944006287820487,0.9927779126190646,0.9978708302925811,0,8.944006287820487,6.7891475514276625,8.944006287820487,0,0,554.0550000667572,558,0,5378.725534939747,6.786810975687472,8.944006287820487,0
